2024-03-18T02:26:05.624+09:00  INFO 19624 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:26:05.624+09:00  INFO 19624 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 908 ms
2024-03-18T02:26:06.203+09:00  INFO 19624 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:26:06.483+09:00  INFO 19624 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:26:06.494+09:00  INFO 19624 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.217 seconds (process running for 2.517)
2024-03-18T02:27:46.292+09:00  INFO 19624 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:27:46.292+09:00  INFO 19624 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:27:46.293+09:00  INFO 19624 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:28:48.288+09:00  INFO 9880 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 9880 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:28:48.290+09:00  INFO 9880 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:28:49.218+09:00  INFO 9880 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:28:49.229+09:00  INFO 9880 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:28:49.229+09:00  INFO 9880 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:28:49.293+09:00  INFO 9880 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:28:49.294+09:00  INFO 9880 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 964 ms
2024-03-18T02:28:49.784+09:00  INFO 9880 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:28:50.046+09:00  INFO 9880 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:28:50.058+09:00  INFO 9880 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.166 seconds (process running for 2.47)
2024-03-18T02:28:51.739+09:00  INFO 9880 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:28:51.739+09:00  INFO 9880 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:28:51.740+09:00  INFO 9880 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:35:10.635+09:00  INFO 18516 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 18516 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:35:10.637+09:00  INFO 18516 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:35:11.493+09:00  INFO 18516 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:35:11.506+09:00  INFO 18516 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:35:11.507+09:00  INFO 18516 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:35:11.572+09:00  INFO 18516 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:35:11.573+09:00  INFO 18516 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 894 ms
2024-03-18T02:35:12.153+09:00  INFO 18516 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:35:12.422+09:00  INFO 18516 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:35:12.432+09:00  INFO 18516 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.176 seconds (process running for 2.458)
2024-03-18T02:38:52.027+09:00  INFO 19468 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 19468 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:38:52.029+09:00  INFO 19468 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:38:53.010+09:00  INFO 19468 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:38:53.021+09:00  INFO 19468 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:38:53.022+09:00  INFO 19468 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:38:53.095+09:00  INFO 19468 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:38:53.096+09:00  INFO 19468 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1011 ms
2024-03-18T02:38:53.629+09:00  INFO 19468 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:38:54.054+09:00  INFO 19468 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:38:54.064+09:00  INFO 19468 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.445 seconds (process running for 2.723)
2024-03-18T02:38:55.665+09:00  INFO 19468 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:38:55.665+09:00  INFO 19468 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:38:55.666+09:00  INFO 19468 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:39:48.663+09:00  INFO 19800 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 19800 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:39:48.666+09:00  INFO 19800 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:39:49.548+09:00  INFO 19800 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:39:49.559+09:00  INFO 19800 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:39:49.560+09:00  INFO 19800 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:39:49.618+09:00  INFO 19800 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:39:49.618+09:00  INFO 19800 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 901 ms
2024-03-18T02:39:50.117+09:00  INFO 19800 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:39:50.376+09:00  INFO 19800 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:39:50.388+09:00  INFO 19800 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.124 seconds (process running for 2.408)
2024-03-18T02:39:59.368+09:00  INFO 19800 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:39:59.368+09:00  INFO 19800 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:39:59.369+09:00  INFO 19800 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:41:57.610+09:00  INFO 20440 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 20440 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:41:57.613+09:00  INFO 20440 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:41:58.489+09:00  INFO 20440 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:41:58.501+09:00  INFO 20440 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:41:58.501+09:00  INFO 20440 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:41:58.568+09:00  INFO 20440 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:41:58.569+09:00  INFO 20440 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 914 ms
2024-03-18T02:41:59.099+09:00  INFO 20440 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:41:59.401+09:00  INFO 20440 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:41:59.413+09:00  INFO 20440 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.197 seconds (process running for 2.482)
2024-03-18T02:42:02.557+09:00  INFO 20440 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:42:02.557+09:00  INFO 20440 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:42:02.558+09:00  INFO 20440 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2024-03-18T02:43:25.393+09:00  INFO 16360 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 16360 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:43:25.395+09:00  INFO 16360 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:43:26.255+09:00  INFO 16360 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:43:26.265+09:00  INFO 16360 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:43:26.266+09:00  INFO 16360 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:43:26.327+09:00  INFO 16360 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:43:26.327+09:00  INFO 16360 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 892 ms
2024-03-18T02:43:26.842+09:00  INFO 16360 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:43:27.117+09:00  INFO 16360 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:43:27.129+09:00  INFO 16360 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.118 seconds (process running for 2.431)
2024-03-18T02:43:31.304+09:00  INFO 16360 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:43:31.304+09:00  INFO 16360 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:43:31.305+09:00  INFO 16360 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:43:31.452+09:00  WARN 16360 --- [http-nio-80-exec-10] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; For input string: ""]
2024-03-18T02:43:50.142+09:00  INFO 16672 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 16672 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:43:50.143+09:00  INFO 16672 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:43:51.001+09:00  INFO 16672 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:43:51.013+09:00  INFO 16672 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:43:51.014+09:00  INFO 16672 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:43:51.077+09:00  INFO 16672 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:43:51.078+09:00  INFO 16672 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 897 ms
2024-03-18T02:43:51.563+09:00  INFO 16672 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2024-03-18T02:43:51.821+09:00  INFO 16672 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 80 (http) with context path ''
2024-03-18T02:43:51.832+09:00  INFO 16672 --- [main] com._S2JG.AppStart                       : Started AppStart in 2.068 seconds (process running for 2.351)
2024-03-18T02:43:54.588+09:00  INFO 16672 --- [http-nio-80-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-18T02:43:54.588+09:00  INFO 16672 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-18T02:43:54.589+09:00  INFO 16672 --- [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-18T02:43:54.744+09:00  WARN 16672 --- [http-nio-80-exec-10] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; For input string: ""]
